from,to,weight
25,74,0.5024
25,77,0.494
25,81,0.4532
25,87,0.5874
25,89,0.5931
25,91,0.685
25,94,0.5414
25,95,0.5453
25,96,0.5874
25,97,0.4796
25,99,0.5064
25,100,0.6822
25,101,0.4551
26,27,0.5548
26,28,0.5604
26,29,0.4639
26,30,0.7121
26,31,0.6288
26,32,0.5365
26,33,0.5461
26,34,0.5315
26,35,0.6976
26,36,0.6962
26,37,0.5249
26,38,0.5056
26,39,0.4668
26,40,0.464
26,41,0.5269
26,42,0.5653
26,43,0.5015
26,46,0.5496
26,48,0.5396
26,49,0.5545
26,56,0.6218
26,58,0.4895
26,59,0.4986
26,60,0.569
26,61,0.4803
26,62,0.6639
26,64,0.5166
26,65,0.6268
26,66,0.5302
26,67,0.6049
26,68,0.6004
26,69,0.5224
26,70,0.494
26,71,0.6056
26,72,0.622
26,73,0.5386
26,74,0.5116
26,75,0.528
26,76,0.5065
26,77,0.4622
26,79,0.5644
26,81,0.5855
26,84,0.4704
26,88,0.4588
26,89,0.5758
26,91,0.5741
26,93,0.4693
26,94,0.498
26,96,0.6177
26,98,0.4785
26,99,0.6353
26,100,0.5148
27,28,0.4817
27,29,0.5626
27,30,0.6263
27,33,0.6425
27,34,0.5672
27,35,0.5583
27,36,0.5311
27,38,0.5712
27,39,0.5312
27,41,0.4731
27,42,0.6915
27,43,0.5028
27,44,0.5248
27,45,0.4949
27,46,0.5435
27,48,0.6784
27,49,0.488
27,50,0.4723
27,52,0.4644
27,56,0.4858
27,57,0.5526
27,58,0.5456
27,59,0.5488
27,60,0.5192
27,61,0.6352
27,64,0.5774
27,65,0.545
27,66,0.5278
27,67,0.4984
27,68,0.4973
27,69,0.5725
27,70,0.5348
27,71,0.5669
27,72,0.5725
27,73,0.6429
27,74,0.4914
